"","Screen","Name","marker"
"296","PEST08","Methiocarb","X"
"297","PEST08","Methiocarb sulfone","X"
"298","PEST08","Methiocarb sulfoxide","X"
"299","PEST08","Methomyl","X"
"300","PEST08","Methoxychlor","X"
"301","PEST08","Methoxyfenozide","X"
"302","PEST08","Metobromuron","X"
"303","PEST08","Metolachlor","X"
"304","PEST08","(E)-Metominostrobin","X"
"305","PEST08","(Z)-Metominostrobin","X"
"306","PEST08","Metosulam","X"
"307","PEST08","Metrafenone","X"
"308","PEST08","Metribuzin","X"
"309","PEST08","Metsulfuron-methyl","X"
"310","PEST08","Mevinphos","X"
"311","PEST08","Milbemycin A3","X"
"312","PEST08","Milbemycin A4","X"
"313","PEST08","Mirex","X"
"314","PEST08","Molinate","X"
"315","PEST08","Monocrotophos","X"
"316","PEST08","Monolinuron","X"
"317","PEST08","Myclobutanil","X"
"318","PEST08","Napropamide","X"
"319","PEST08","Nicotine","X"
"320","PEST08","Nitrofen","X"
"321","PEST08","Nitrothal-isopropyl","X"
"322","PEST08","Norflurazon","X"
"323","PEST08","Novaluron","X"
"324","PEST08","Octhilinone","X"
"325","PEST08","Omethoate","X"
"326","PEST08","Oryzalin","X"
"327","PEST08","Oxabetrinil","X"
"328","PEST08","Oxadiazon","X"
"329","PEST08","Oxadixyl","X"
"330","PEST08","Oxamyl","X"
"331","PEST08","Oxycarboxin","X"
"332","PEST08","Oxyfluorfen","X"
"333","PEST08","Paclobutrazol","X"
"334","PEST08","Parathion","X"
"335","PEST08","Parathion-methyl","X"
"336","PEST08","Penconazole","X"
"337","PEST08","Pencycuron","X"
"338","PEST08","Pendimethalin","X"
"339","PEST08","Pentachlorobenzene","X"
"340","PEST08","Penthiopyrad","X"
"341","PEST08","Permethrin","X"
"342","PEST08","Phenmedipham","X"
"343","PEST08","Phenthoate","X"
"344","PEST08","2-Phenylphenol","X"
"345","PEST08","Phorate","X"
"346","PEST08","Phoratesulfone","X"
"347","PEST08","Phoratesulfoxide","X"
"348","PEST08","Phosalone","X"
"349","PEST08","Phosmet","X"
"350","PEST08","Phosphamidon","X"
"351","PEST08","Phoxim","X"
"352","PEST08","Picolinafen","X"
"353","PEST08","Piperonyl butoxide","X"
"354","PEST08","Piperophos","X"
"355","PEST08","Pirimicarb","X"
"356","PEST08","Pirimiphos-methyl","X"
"357","PEST08","Pretilachlor","X"
"358","PEST08","Prochloraz","X"
"359","PEST08","Procymidone","X"
"360","PEST08","Profenofos","X"
"361","PEST08","Promecarb","X"
"362","PEST08","Prometryn","X"
"363","PEST08","Propachlor","X"
"364","PEST08","Propamocarb","X"
"365","PEST08","Propanil","X"
"366","PEST08","Propaphos","X"
"367","PEST08","Propaquizafop","X"
"368","PEST08","Propargite","X"
"369","PEST08","Propazine","X"
"370","PEST08","Propetamphos","X"
"371","PEST08","Propham","X"
"372","PEST08","Propiconazole","X"
"373","PEST08","Propoxur","X"
"374","PEST08","Propyzamide","X"
"375","PEST08","Proquinazid","X"
"376","PEST08","Prosulfocarb","X"
"377","PEST08","Prothiofos","X"
"378","PEST08","Pymetrozin","X"
"379","PEST08","Pyraclofos","X"
"380","PEST08","Pyraclostrobin","X"
"381","PEST08","Pyraflufen-ethyl","X"
"382","PEST08","Pyrasulfotole","X"
"383","PEST08","Pyrazophos","X"
"384","PEST08","Pyrethrins","X"
"385","PEST08","Pyributicarb","X"
"386","PEST08","Pyridaben","X"
"387","PEST08","Pyridaphenthion","X"
"388","PEST08","Pyrifenox","X"
"389","PEST08","Pyriftalid","X"
"390","PEST08","Pyrimethanil","X"
"391","PEST08","Pyrimidifen","X"
"392","PEST08","(E)-Pyriminobac-methyl","X"
"393","PEST08","(Z)-Pyriminobac-methyl","X"
"394","PEST08","Pyriproxyfen","X"
"395","PEST08","Pyroquilon","X"
"396","PEST08","Pyroxsulam","X"
"397","PEST08","Quinalphos","X"
"398","PEST08","Quinoclamine","X"
"399","PEST08","Quinoxyfen","X"
"400","PEST08","Quintozene","X"
"401","PEST08","Quizalofop-ethyl","X"
"402","PEST08","Rimsulfuron","X"
"403","PEST08","Saflufenacil","X"
"404","PEST08","Sebuthylazine","X"
"405","PEST08","Sethoxydim","X"
"406","PEST08","Simazine","X"
"407","PEST08","Simeconazole","X"
"408","PEST08","Simetryn","X"
"409","PEST08","Spinetoram","X"
"410","PEST08","Spinosad","X"
"411","PEST08","Spiromesifen","X"
"412","PEST08","Spiromesifen enol","X"
"413","PEST08","Spirotetramat","X"
"414","PEST08","Spirotetramat enol","X"
"415","PEST08","Spirotetramat enol-glucoside","X"
"416","PEST08","Spirotetramat-keto-hydroxy","X"
"417","PEST08","Spirotetramat-mono-hydroxy","X"
"418","PEST08","Spiroxamine","X"
"419","PEST08","Sulfentrazone","X"
"420","PEST08","Sulprofos","X"
"421","PEST08","Tebuconazole","X"
"422","PEST08","Tebufenozide","X"
"423","PEST08","Tebufenpyrad","X"
"424","PEST08","Tebuthiuron","X"
"425","PEST08","Tecnazene","X"
"426","PEST08","Teflubenzuron","X"
"427","PEST08","Tefluthrin","X"
"428","PEST08","Temephos","X"
"429","PEST08","Tepraloxydim","X"
"430","PEST08","Terbacil","X"
"431","PEST08","Terbufos","X"
"432","PEST08","Terbumeton","X"
"433","PEST08","Terbuthylazine","X"
"434","PEST08","Terbutryn","X"
"435","PEST08","Tetrachlorvinphos","X"
"436","PEST08","Tetraconazole","X"
"437","PEST08","Tetradifon","X"
"438","PEST08","Tetrahydrophthalimide","X"
"439","PEST08","Thenylchlor","X"
"440","PEST08","Thiabendazole","X"
"441","PEST08","Thiacloprid","X"
"442","PEST08","Thiamethoxam","X"
"443","PEST08","Thiazopyr","X"
"444","PEST08","Thidiazuron","X"
"445","PEST08","Thiobencarb","X"
"446","PEST08","Thiocyclam hydrogen oxalate","X"
"447","PEST08","Thiometon","X"
"448","PEST08","Tiadinil","X"
"449","PEST08","Tolclofos-methyl","X"
"450","PEST08","Tolylfluanid","X"
"451","PEST08","Tralkoxydim","X"
"452","PEST08","Transfluthrin","X"
"453","PEST08","Triadimefon","X"
"454","PEST08","Triadimenol","X"
"455","PEST08","Tri-allate","X"
"456","PEST08","Triasulfuron","X"
"457","PEST08","Triazophos","X"
"458","PEST08","Tribenuron-methyl","X"
"459","PEST08","Tribufos","X"
"460","PEST08","Trichlorfon","X"
"461","PEST08","Tricyclazole","X"
"462","PEST08","Trifloxystrobin","X"
"463","PEST08","Trifloxysulfuron-sodium","X"
"464","PEST08","Triflumizole","X"
"465","PEST08","Triflumuron","X"
"466","PEST08","Trifluralin","X"
"467","PEST08","Triflusulfuron-methyl","X"
"468","PEST08","Triforine","X"
"469","PEST08","Triticonazole","X"
"470","PEST08","Uniconazole-P","X"
"471","PEST08","Vamidothion","X"
"472","PEST08","Vinclozolin","X"
"473","PEST08","XMC","X"
"474","PEST08","Zoxamide","X"
"475","PEST06","2-Phenylphenol","X"
"476","PEST06","Acephate","X"
"477","PEST06","Aldrin and dieldrin","X"
"478","PEST06","Azinphos-methyl","X"
"479","PEST06","Azoxystrobin","X"
"480","PEST06","Benalaxyl","X"
"481","PEST06","Bifenthrin","X"
"482","PEST06","Bioresmethrin","X"
"483","PEST06","Bitertanol","X"
"484","PEST06","Boscalid","X"
"485","PEST06","Captan","X"
"486","PEST06","Carbaryl","X"
"487","PEST06","Carbendazim","X"
"488","PEST06","Chlorfenvinphos","X"
"489","PEST06","Chlorothalonil","X"
"490","PEST06","Chlorpyrifos","X"
"491","PEST06","Chlorpyrifos-methyl","X"
"492","PEST06","Chlorthal-dimethyl","X"
"493","PEST06","Cyfluthrin","X"
"494","PEST06","Cyhalothrin","X"
"495","PEST06","Cypermethrin","X"
"496","PEST06","Cyproconazole","X"
"497","PEST06","Cyprodinil","X"
"498","PEST06","DDT","X"
"499","PEST06","Deltamethrin","X"
"500","PEST06","Diazinon","X"
"501","PEST06","Dichlorvos","X"
"502","PEST06","Dicloran","X"
"503","PEST06","Dicofol","X"
"504","PEST06","Difenoconazole","X"
"505","PEST06","Dimethoate","X"
"506","PEST06","Dimethomorph","X"
"507","PEST06","Diphenylamine","X"
"508","PEST06","Disulfoton","X"
"509","PEST06","Diuron","X"
"510","PEST06","Endosulfan","X"
"511","PEST06","Endrin","X"
"512","PEST06","Ethoprofos","X"
"513","PEST06","Fenamiphos","X"
"514","PEST06","Fenarimol","X"
"515","PEST06","Fenhexamid","X"
"516","PEST06","Fenitrothion","X"
"517","PEST06","Fenoxycarb","X"
"518","PEST06","Fenpyroximate","X"
"519","PEST06","Fenthion","X"
"520","PEST06","Fenvalerate","X"
"521","PEST06","Fipronil","X"
"522","PEST06","Fludioxonil","X"
"523","PEST06","Flusilazole","X"
"524","PEST06","Hexachlorobenzene","X"
"525","PEST06","BHC","X"
"526","PEST06","Heptachlor","X"
"527","PEST06","Hexaconazole","X"
"528","PEST06","Hexythiazox","X"
"529","PEST06","Imazalil","X"
"530","PEST06","Indoxacarb","X"
"531","PEST06","Iprodione","X"
"532","PEST06","Kresoxim-methyl","X"
"533","PEST06","Lindane","X"
"534","PEST06","Linuron","X"
"535","PEST06","Malathion","X"
"536","PEST06","Metalaxyl","X"
"537","PEST06","Methamidophos","X"
"538","PEST06","Methidathion","X"
"539","PEST06","Methomyl","X"
"540","PEST06","Mevinphos","X"
"541","PEST06","Monocrotophos","X"
"542","PEST06","Myclobutanil","X"
"543","PEST06","Oxyfluorfen","X"
"544","PEST06","Paclobutrazol","X"
"545","PEST06","Parathion-ethyl","X"
"546","PEST06","Parathion-methyl","X"
"547","PEST06","Penconazole","X"
"548","PEST06","Pendimethalin","X"
"549","PEST06","Permethrin","X"
"550","PEST06","Phenothrin","X"
"551","PEST06","Phorate","X"
"552","PEST06","Phosmet","X"
"553","PEST06","Piperonyl-butoxide","X"
"554","PEST06","Pirimicarb","X"
"555","PEST06","Pirimiphos-methyl","X"
"556","PEST06","Procymidone","X"
"557","PEST06","Profenofos","X"
"558","PEST06","Propargite","X"
"559","PEST06","Propiconazole","X"
"560","PEST06","Prothiofos","X"
"561","PEST06","Pymetrozine","X"
"562","PEST06","Pyraclostrobin","X"
"563","PEST06","Pyrethrins","X"
"564","PEST06","Pyrimethanil","X"
"565","PEST06","Pyriproxyfen","X"
"566","PEST06","Quintozene","X"
"567","PEST06","Spinosad","X"
"568","PEST06","Spirotetramat","X"
"569","PEST06","Tau-fluvalinate","X"
"570","PEST06","Tebuconazole","X"
"571","PEST06","Tebufenozide","X"
"572","PEST06","Tebufenpyrad","X"
"573","PEST06","Terbufos","X"
"574","PEST06","Tetradifon","X"
"575","PEST06","Thiabendazole","X"
"576","PEST06","Thiacloprid","X"
"577","PEST06","Thiamethoxam","X"
"578","PEST06","Triadimefon Total","X"
"579","PEST06","Triadimenol","X"
"580","PEST06","Trichlorfon","X"
"581","PEST06","Trifloxystrobin","X"
"582","PEST06","Vinclozolin","X"
"583","PEST08_C6","Acephate","X"
"584","PEST08_C6","Aldrin","X"
"585","PEST08_C6","Azinphos-methyl","X"
"586","PEST08_C6","Azoxystrobin","X"
"587","PEST08_C6","Benalaxyl","X"
"588","PEST08_C6","Bifenthrin","X"
"589","PEST08_C6","Bioresmethrin","X"
"590","PEST08_C6","Bitertanol","X"
"591","PEST08_C6","Boscalid","X"
"592","PEST08_C6","Bromophos-ethyl","X"
"593","PEST08_C6","Bupirimate","X"
"594","PEST08_C6","Buprofezin","X"
"595","PEST08_C6","Captan","X"
"596","PEST08_C6","Carbaryl","X"
"597","PEST08_C6","Carbendazim","X"
"598","PEST08_C6","cis-Chlordane","X"
"599","PEST08_C6","trans-Chlordane","X"
"600","PEST08_C6","Chlorfenapyr","X"
"601","PEST08_C6","Chlorothalonil","X"
"602","PEST08_C6","Chlorpyrifos","X"
"603","PEST08_C6","Chlorpyrifos-methyl","X"
"604","PEST08_C6","Chlorthal-dimethyl","X"
"605","PEST08_C6","Clofentezine","X"
"606","PEST08_C6","Cyfluthrin","X"
"607","PEST08_C6","Cyhalothrin","X"
"608","PEST08_C6","Cypermethrin","X"
"609","PEST08_C6","Cyproconazole","X"
"610","PEST08_C6","Cyprodinil","X"
"611","PEST08_C6","o""-DDD","X"
"612","PEST08_C6","p""-DDD","X"
"613","PEST08_C6","o""-DDE","X"
"614","PEST08_C6","p""-DDE","X"
"615","PEST08_C6","o""-DDT","X"
"616","PEST08_C6","p""-DDT","X"
"617","PEST08_C6","Deltamethrin","X"
"618","PEST08_C6","Demeton-S-methyl","X"
"619","PEST08_C6","Diazinon","X"
"620","PEST08_C6","Dichlofluanid","X"
"621","PEST08_C6","Dichlorvos","X"
"622","PEST08_C6","Dicloran","X"
"623","PEST08_C6","Dicofol","X"
"624","PEST08_C6","Dieldrin","X"
"625","PEST08_C6","Difenoconazole","X"
"626","PEST08_C6","Dimethoate","X"
"627","PEST08_C6","Dimethomorph","X"
"628","PEST08_C6","Diphenylamine","X"
"629","PEST08_C6","Diuron","X"
"630","PEST08_C6","alpha-Endosulfan","X"
"631","PEST08_C6","beta-Endosulfan","X"
"632","PEST08_C6","Endosulfan sulfate","X"
"633","PEST08_C6","Endrin","X"
"634","PEST08_C6","Endrin ketone","X"
"635","PEST08_C6","Etoxazole","X"
"636","PEST08_C6","Fenamiphos","X"
"637","PEST08_C6","Fenarimol","X"
"638","PEST08_C6","Fenhexamid","X"
"639","PEST08_C6","Fenitrothion","X"
"640","PEST08_C6","Fenoxycarb","X"
"641","PEST08_C6","Fenpyroximate","X"
"642","PEST08_C6","Fenthion","X"
"643","PEST08_C6","Fenthion sulfone","X"
"644","PEST08_C6","Fenthion sulfoxide","X"
"645","PEST08_C6","Fenthion-oxon","X"
"646","PEST08_C6","Fenthion-oxon sulfone","X"
"647","PEST08_C6","Fenthion-oxon sulfoxide","X"
"648","PEST08_C6","Fenvalerate","X"
"649","PEST08_C6","Fipronil","X"
"650","PEST08_C6","Fipronil sulfide","X"
"651","PEST08_C6","Fipronil sulfone","X"
"652","PEST08_C6","Flubendiamide","X"
"653","PEST08_C6","Fludioxonil","X"
"654","PEST08_C6","Flusilazole","X"
"655","PEST08_C6","Fluvalinate","X"
"656","PEST08_C6","alpha-HCH","X"
"657","PEST08_C6","beta-HCH","X"
"658","PEST08_C6","gamma-HCH","X"
"659","PEST08_C6","delta-HCH","X"
"660","PEST08_C6","Heptachlor","X"
"661","PEST08_C6","Heptachlor endo-epoxide","X"
"662","PEST08_C6","Heptachlor exo-epoxide","X"
"663","PEST08_C6","Hexachlorobenzene","X"
"664","PEST08_C6","Hexaconazole","X"
"665","PEST08_C6","Hexythiazox","X"
"666","PEST08_C6","Imazalil","X"
"667","PEST08_C6","Imidacloprid","X"
"668","PEST08_C6","5-Hydroxyimidacloprid","X"
"669","PEST08_C6","Imidacloprid olefin","X"
"670","PEST08_C6","Indoxacarb","X"
"671","PEST08_C6","Iprodione","X"
"672","PEST08_C6","Kresoxim-methyl","X"
"673","PEST08_C6","Linuron","X"
"674","PEST08_C6","Malathion","X"
"675","PEST08_C6","Metalaxyl","X"
"676","PEST08_C6","Methabenzthiazuron","X"
"677","PEST08_C6","Methacrifos","X"
"678","PEST08_C6","Methamidophos","X"
"679","PEST08_C6","Methidathion","X"
"680","PEST08_C6","Methomyl","X"
"681","PEST08_C6","Metribuzin","X"
"682","PEST08_C6","Mevinphos","X"
"683","PEST08_C6","Monocrotophos","X"
"684","PEST08_C6","Myclobutanil","X"
"685","PEST08_C6","Omethoate","X"
"686","PEST08_C6","Oxyfluorfen","X"
"687","PEST08_C6","Paclobutrazol","X"
"688","PEST08_C6","Parathion","X"
"689","PEST08_C6","Parathion-methyl","X"
"690","PEST08_C6","Penconazole","X"
"691","PEST08_C6","Pendimethalin","X"
"692","PEST08_C6","Permethrin","X"
"693","PEST08_C6","2-Phenylphenol","X"
"694","PEST08_C6","Phorate","X"
"695","PEST08_C6","Phoratesulfone","X"
"696","PEST08_C6","Phoratesulfoxide","X"
"697","PEST08_C6","Phosmet","X"
"698","PEST08_C6","Piperonyl butoxide","X"
"699","PEST08_C6","Pirimicarb","X"
"700","PEST08_C6","Pirimiphos-methyl","X"
"701","PEST08_C6","Prochloraz","X"
"702","PEST08_C6","Procymidone","X"
"703","PEST08_C6","Profenofos","X"
"704","PEST08_C6","Propargite","X"
"705","PEST08_C6","Propiconazole","X"
"706","PEST08_C6","Prothiofos","X"
"707","PEST08_C6","Pymetrozin","X"
"708","PEST08_C6","Pyraclostrobin","X"
